390:[1, 4, 1, 4, 1, 1, 1, 4, 1, 1, 3, 2, 2, 4, 2, 3, 0, 0, 4, 2, ]
541:[0, 4, 0, 3, 1, 1, 1, 2, 2, 3, 3, 1, 3, 4, 0, 2, 1, 2, 1, 3, ]
422:[3, 0, 2, 0, 1, 1, 2, 4, 1, 1, 3, 0, 0, 3, 4, 4, 1, 3, 3, 0, ]
483:[1, 0, 1, 2, 4, 1, 2, 1, 4, 2, 1, 4, 4, 3, 3, 4, 3, 3, 0, 1, ]
394:[1, 0, 4, 1, 0, 0, 0, 3, 0, 3, 3, 0, 2, 2, 0, 4, 4, 3, 2, 2, ]
515:[4, 1, 0, 2, 4, 1, 0, 1, 3, 0, 2, 4, 3, 3, 1, 0, 2, 1, 1, 2, ]
546:[1, 1, 4, 3, 1, 1, 0, 3, 2, 4, 0, 4, 2, 4, 2, 1, 3, 0, 0, 4, ]
397:[1, 0, 1, 4, 1, 4, 4, 4, 2, 2, 0, 3, 2, 4, 2, 1, 4, 2, 0, 4, ]
428:[3, 0, 1, 1, 2, 3, 2, 2, 2, 2, 2, 1, 0, 3, 2, 4, 1, 4, 2, 4, ]
519:[1, 1, 4, 1, 4, 4, 4, 2, 4, 3, 3, 3, 0, 4, 3, 1, 4, 0, 0, 0, ]
400:[1, 4, 1, 2, 2, 1, 3, 4, 2, 0, 1, 2, 1, 3, 0, 1, 2, 1, 4, 2, ]
431:[1, 0, 4, 2, 3, 1, 0, 4, 1, 0, 4, 2, 3, 4, 1, 0, 1, 0, 0, 4, ]
342:[0, 1, 2, 4, 0, 2, 0, 1, 3, 0, 0, 0, 3, 0, 3, 3, 2, 1, 3, 3, ]
493:[2, 0, 1, 3, 0, 1, 3, 4, 4, 1, 4, 4, 1, 0, 3, 1, 0, 1, 4, 1, ]
494:[0, 4, 4, 1, 0, 0, 0, 2, 3, 4, 2, 2, 1, 2, 2, 4, 1, 4, 4, 4, ]
345:[1, 1, 4, 1, 4, 1, 2, 0, 4, 4, 3, 2, 1, 4, 4, 4, 2, 0, 3, 3, ]
526:[2, 2, 4, 3, 0, 2, 3, 3, 2, 0, 1, 0, 1, 3, 1, 2, 2, 0, 2, 2, ]
407:[0, 0, 0, 1, 1, 2, 4, 4, 4, 2, 3, 3, 1, 4, 1, 2, 0, 0, 0, 1, ]
528:[2, 0, 1, 4, 0, 1, 0, 2, 1, 2, 2, 3, 2, 2, 3, 2, 1, 3, 1, 2, ]
439:[1, 0, 1, 3, 2, 4, 0, 1, 1, 1, 4, 2, 4, 3, 2, 1, 1, 3, 2, 1, ]
470:[1, 2, 3, 3, 3, 0, 0, 1, 0, 1, 0, 1, 0, 4, 1, 1, 2, 0, 3, 3, ]
501:[1, 4, 3, 2, 3, 3, 3, 1, 0, 3, 0, 0, 4, 4, 2, 1, 3, 1, 2, 3, ]
412:[1, 1, 0, 4, 3, 3, 1, 1, 1, 4, 4, 3, 4, 2, 2, 2, 0, 4, 1, 3, ]
503:[3, 2, 3, 3, 4, 1, 1, 1, 2, 4, 2, 2, 0, 3, 2, 3, 4, 2, 4, 4, ]
474:[4, 1, 3, 2, 3, 2, 0, 3, 1, 2, 2, 1, 3, 4, 4, 1, 1, 4, 0, 4, ]
535:[3, 3, 3, 2, 3, 0, 0, 4, 3, 3, 0, 2, 3, 0, 1, 4, 4, 0, 3, 1, ]
506:[3, 3, 4, 3, 1, 1, 1, 0, 2, 3, 4, 1, 4, 1, 0, 1, 1, 4, 2, 3, ]
387:[1, 4, 2, 0, 4, 2, 4, 3, 4, 4, 4, 1, 1, 0, 2, 3, 3, 3, 4, 2, ]
538:[2, 2, 0, 3, 4, 1, 4, 2, 0, 4, 3, 2, 4, 3, 2, 3, 4, 3, 4, 3, ]
359:[1, 4, 4, 0, 0, 3, 2, 4, 2, 2, 0, 2, 0, 2, 1, 3, 2, 0, 2, 0, ]
