330:[3, 1, 0, 0, 2, 4, 3, 1, 4, 3, 3, 0, 4, 0, 0, 4, 0, 1, 2, 1, 0, 0, 4, 2, 4, 1, 4, 4, 1, 3, ]
511:[2, 0, 2, 0, 2, 1, 1, 4, 0, 1, 2, 2, 2, 0, 4, 3, 0, 3, 1, 3, 3, 1, 3, 3, 2, 3, 4, 4, 3, 3, ]
512:[4, 2, 4, 3, 1, 1, 1, 4, 0, 3, 2, 1, 1, 2, 4, 1, 1, 4, 0, 2, 1, 3, 0, 2, 4, 1, 4, 2, 4, 2, ]
543:[0, 3, 2, 1, 4, 4, 1, 2, 0, 2, 2, 2, 0, 0, 4, 4, 1, 0, 0, 3, 1, 2, 4, 2, 0, 1, 3, 4, 2, 4, ]
484:[3, 2, 4, 2, 1, 3, 1, 3, 1, 3, 2, 1, 3, 4, 4, 3, 2, 2, 2, 2, 0, 4, 4, 0, 2, 1, 4, 1, 4, 4, ]
455:[4, 0, 2, 3, 4, 2, 0, 0, 1, 4, 2, 1, 0, 0, 0, 4, 3, 4, 4, 1, 1, 0, 2, 1, 1, 0, 3, 2, 2, 3, ]
456:[3, 3, 0, 2, 4, 1, 0, 2, 2, 0, 1, 2, 4, 0, 2, 3, 1, 3, 0, 1, 2, 1, 4, 3, 3, 4, 0, 0, 3, 2, ]
547:[3, 4, 0, 0, 2, 2, 1, 2, 2, 0, 0, 4, 1, 0, 4, 4, 1, 0, 1, 4, 3, 4, 2, 1, 1, 4, 0, 1, 0, 2, ]
458:[3, 2, 2, 4, 4, 0, 0, 4, 4, 2, 1, 0, 0, 1, 2, 4, 1, 1, 0, 2, 0, 1, 1, 1, 0, 0, 3, 0, 2, 4, ]
549:[1, 0, 4, 1, 4, 1, 1, 3, 0, 1, 4, 2, 3, 3, 3, 1, 0, 4, 0, 0, 0, 0, 1, 0, 3, 0, 2, 1, 0, 2, ]
370:[3, 3, 0, 0, 1, 1, 1, 3, 3, 2, 0, 1, 1, 0, 0, 3, 2, 3, 3, 4, 0, 3, 2, 2, 2, 0, 4, 1, 3, 0, ]
491:[2, 3, 2, 1, 4, 1, 0, 4, 4, 2, 2, 3, 1, 0, 1, 2, 2, 1, 2, 1, 1, 0, 1, 0, 2, 4, 4, 2, 0, 4, ]
552:[4, 3, 0, 1, 4, 1, 4, 0, 3, 2, 4, 2, 3, 4, 1, 2, 0, 4, 2, 3, 2, 4, 4, 2, 1, 3, 4, 4, 0, 3, ]
373:[4, 4, 4, 1, 4, 3, 3, 1, 1, 0, 0, 4, 1, 2, 1, 3, 2, 0, 1, 2, 2, 1, 3, 3, 4, 0, 0, 3, 3, 0, ]
404:[3, 3, 2, 4, 0, 4, 1, 0, 2, 1, 2, 2, 0, 4, 3, 4, 2, 3, 4, 2, 0, 1, 1, 4, 3, 0, 0, 2, 4, 1, ]
405:[0, 1, 4, 0, 0, 0, 4, 0, 0, 3, 2, 1, 4, 4, 3, 1, 0, 3, 1, 4, 1, 1, 3, 1, 2, 4, 0, 4, 0, 0, ]
376:[3, 0, 0, 2, 1, 1, 2, 4, 3, 2, 3, 2, 3, 2, 1, 3, 0, 1, 1, 2, 1, 1, 1, 3, 2, 3, 1, 4, 3, 3, ]
527:[4, 2, 4, 1, 2, 2, 1, 0, 3, 3, 3, 4, 0, 4, 3, 1, 3, 4, 0, 3, 0, 0, 3, 3, 2, 4, 0, 2, 1, 4, ]
438:[0, 3, 2, 1, 1, 4, 2, 0, 1, 2, 1, 1, 0, 0, 4, 4, 2, 2, 2, 3, 1, 4, 1, 4, 1, 3, 3, 3, 4, 4, ]
559:[2, 3, 3, 1, 4, 4, 1, 2, 4, 0, 1, 3, 4, 1, 1, 1, 2, 1, 0, 3, 2, 4, 4, 2, 4, 4, 4, 2, 4, 1, ]
410:[3, 4, 2, 1, 0, 1, 0, 4, 3, 2, 0, 2, 0, 1, 2, 3, 3, 0, 1, 0, 2, 3, 3, 1, 4, 4, 3, 1, 3, 4, ]
501:[1, 1, 3, 2, 2, 2, 4, 0, 1, 2, 2, 2, 4, 0, 3, 2, 4, 0, 2, 2, 3, 4, 3, 3, 1, 0, 4, 3, 1, 1, ]
442:[3, 3, 0, 4, 3, 1, 0, 4, 2, 3, 0, 4, 2, 1, 0, 1, 1, 1, 0, 0, 2, 0, 1, 4, 3, 2, 1, 4, 3, 2, ]
533:[2, 1, 2, 3, 4, 4, 1, 2, 3, 3, 2, 3, 2, 0, 1, 3, 3, 4, 2, 4, 1, 1, 1, 2, 0, 0, 0, 2, 2, 1, ]
354:[1, 2, 0, 3, 0, 3, 0, 3, 0, 1, 0, 1, 1, 3, 4, 3, 1, 2, 2, 0, 1, 1, 4, 1, 1, 0, 3, 2, 4, 1, ]
535:[2, 4, 0, 4, 2, 0, 3, 3, 2, 4, 3, 2, 4, 2, 2, 0, 2, 2, 4, 3, 1, 3, 1, 4, 2, 2, 2, 0, 1, 4, ]
566:[1, 0, 4, 1, 2, 1, 0, 0, 2, 0, 1, 0, 1, 0, 1, 0, 4, 4, 4, 0, 0, 4, 4, 3, 4, 0, 3, 2, 3, 0, ]
