630:[4,0,0,1,4,2,2,0,2,4,3,2,4,1,2,]
721:[1,1,3,3,0,3,4,2,0,3,3,3,2,1,3,]
782:[4,3,1,3,0,1,1,1,0,0,2,3,1,1,1,]
813:[2,3,2,0,1,3,4,2,1,4,3,2,2,0,3,]
634:[2,0,3,2,4,1,4,4,3,3,1,3,3,3,0,]
755:[0,0,4,0,4,1,0,1,4,2,4,2,1,3,3,]
726:[3,1,2,4,1,4,1,1,0,0,3,3,3,4,4,]
697:[0,2,3,0,1,0,4,3,0,2,2,2,2,4,2,]
788:[3,0,1,2,1,4,4,0,3,4,3,4,0,4,2,]
879:[3,4,4,2,3,1,1,2,0,4,2,4,1,3,0,]
640:[0,2,2,4,4,0,3,2,2,0,0,0,2,0,4,]
761:[0,2,1,3,3,0,0,1,1,1,0,3,2,4,3,]
702:[0,0,0,3,0,3,0,2,3,1,4,3,4,2,1,]
763:[1,4,3,2,4,1,1,4,2,4,1,0,3,2,3,]
794:[4,4,4,1,2,0,2,1,1,3,4,4,1,3,3,]
855:[3,0,3,0,3,2,4,1,3,2,2,4,1,3,2,]
886:[0,1,3,0,3,2,3,4,1,0,2,3,1,2,3,]
767:[2,1,0,2,0,4,2,4,4,3,2,4,3,4,1,]
828:[4,2,1,4,3,4,4,1,4,1,2,0,2,3,3,]
859:[4,1,1,3,3,1,0,3,0,1,1,2,0,0,2,]
710:[2,4,3,2,3,4,4,1,4,4,0,3,0,2,0,]
771:[2,3,0,4,3,3,1,4,2,4,2,1,1,2,1,]
652:[1,1,0,3,3,2,2,1,1,1,2,0,4,0,2,]
863:[4,4,1,0,4,3,0,3,0,3,4,1,1,4,2,]
834:[4,3,3,2,2,2,2,0,0,4,1,0,4,3,3,]
715:[4,3,4,2,4,4,4,0,0,3,0,2,4,4,4,]
866:[2,0,3,3,2,2,0,0,0,3,4,4,3,4,0,]
837:[4,3,0,2,0,1,3,3,3,1,1,4,2,0,4,]
898:[2,1,4,2,1,3,4,1,2,0,3,4,4,1,2,]
869:[0,0,0,2,4,2,1,4,3,2,2,2,2,4,3,]
